date,product,sku,quantity,unit_type,applied_cost_per_quantity,gross_amount,discount_amount,net_amount,username,organization,repository,cost_center_name,model
2026-05-01,copilot,copilot_premium_request,16,request,0.04,0.64,0.10,0.54,alice,acme-platform,core-api,Platform Engineering,Auto: Claude Haiku 4.5
2026-05-01,copilot,copilot_premium_request,26,request,0.04,1.04,0.16,0.88,alice,acme-platform,core-api,Platform Engineering,Claude Opus 4.7
2026-05-01,copilot,copilot_premium_request,21,request,0.04,0.84,0.13,0.71,bob,acme-platform,core-api,Platform Engineering,Auto: Claude Haiku 4.5
2026-05-01,copilot,copilot_premium_request,47,request,0.04,1.88,0.28,1.60,heidi,acme-platform,core-api,Platform Engineering,Auto: Claude Haiku 4.5
2026-05-01,copilot,copilot_premium_request,36,request,0.04,1.44,0.22,1.22,heidi,acme-platform,billing-service,Platform Engineering,GPT-5.3-Codex
2026-05-01,copilot,copilot_premium_request,24,request,0.04,0.96,0.14,0.82,ivan,acme-platform,billing-service,Platform Engineering,Auto: Claude Sonnet 4.6
2026-05-01,copilot,copilot_premium_request,27,request,0.04,1.08,0.16,0.92,ivan,acme-platform,core-api,Platform Engineering,GPT-5.4
2026-05-01,copilot,copilot_premium_request,34,request,0.04,1.36,0.20,1.16,carol,acme-data,feature-store,Data Science,Auto: Claude Sonnet 4.6
2026-05-01,copilot,copilot_premium_request,44,request,0.04,1.76,0.26,1.50,carol,acme-data,ml-pipeline,Data Science,Claude Sonnet 4.6
2026-05-01,copilot,copilot_premium_request,57,request,0.04,2.28,0.34,1.94,dave,acme-data,feature-store,Data Science,GPT-5.4
2026-05-01,copilot,copilot_premium_request,39,request,0.04,1.56,0.23,1.33,judy,acme-data,feature-store,Data Science,Auto: Claude Sonnet 4.6
2026-05-01,copilot,copilot_premium_request,47,request,0.04,1.88,0.28,1.60,judy,acme-data,ml-pipeline,Data Science,Claude Opus 4.7
2026-05-01,copilot,copilot_premium_request,24,request,0.04,0.96,0.14,0.82,erin,acme-mobile,ios-app,Mobile,Auto: Claude Sonnet 4.6
2026-05-01,copilot,copilot_premium_request,36,request,0.04,1.44,0.22,1.22,mallory,acme-mobile,android-app,Mobile,Auto: Claude Haiku 4.5
2026-05-01,copilot,copilot_premium_request,22,request,0.04,0.88,0.13,0.75,frank,acme-frontend,design-system,Frontend,Auto: Claude Haiku 4.5
2026-05-01,copilot,copilot_premium_request,17,request,0.04,0.68,0.10,0.58,frank,acme-frontend,design-system,Frontend,Auto: Claude Sonnet 4.6
2026-05-01,copilot,copilot_premium_request,45,request,0.04,1.80,0.27,1.53,grace,acme-frontend,web-dashboard,Frontend,Auto: GPT-5.3-Codex
2026-05-01,copilot,copilot_premium_request,26,request,0.04,1.04,0.16,0.88,grace,acme-frontend,web-dashboard,Frontend,Claude Sonnet 4.6
2026-05-01,copilot,copilot_premium_request,24,request,0.04,0.96,0.14,0.82,oscar,acme-frontend,web-dashboard,Frontend,GPT-5.3-Codex
2026-05-02,copilot,copilot_premium_request,24,request,0.04,0.96,0.14,0.82,alice,acme-platform,core-api,Platform Engineering,Claude Sonnet 4.6
2026-05-02,copilot,copilot_premium_request,14,request,0.04,0.56,0.08,0.48,alice,acme-platform,infra-tools,Platform Engineering,Claude Opus 4.7
2026-05-02,copilot,copilot_premium_request,21,request,0.04,0.84,0.13,0.71,bob,acme-platform,billing-service,Platform Engineering,Auto: Claude Sonnet 4.6
2026-05-02,copilot,copilot_premium_request,25,request,0.04,1.00,0.15,0.85,bob,acme-platform,infra-tools,Platform Engineering,Auto: Claude Sonnet 4.6
2026-05-02,copilot,copilot_premium_request,13,request,0.04,0.52,0.08,0.44,heidi,acme-platform,infra-tools,Platform Engineering,Claude Sonnet 4.6
2026-05-02,copilot,copilot_premium_request,23,request,0.04,0.92,0.14,0.78,ivan,acme-platform,infra-tools,Platform Engineering,Auto: Claude Sonnet 4.6
2026-05-02,copilot,copilot_premium_request,24,request,0.04,0.96,0.14,0.82,carol,acme-data,ml-pipeline,Data Science,Claude Sonnet 4.6
2026-05-02,copilot,copilot_premium_request,20,request,0.04,0.80,0.12,0.68,dave,acme-data,ml-pipeline,Data Science,Auto: Claude Haiku 4.5
2026-05-02,copilot,copilot_premium_request,23,request,0.04,0.92,0.14,0.78,dave,acme-data,ml-pipeline,Data Science,Auto: Claude Sonnet 4.6
2026-05-02,copilot,copilot_premium_request,18,request,0.04,0.72,0.11,0.61,judy,acme-data,ml-pipeline,Data Science,Auto: Claude Sonnet 4.6
2026-05-02,copilot,copilot_premium_request,29,request,0.04,1.16,0.17,0.99,erin,acme-mobile,ios-app,Mobile,Code Review model
2026-05-02,copilot,copilot_premium_request,22,request,0.04,0.88,0.13,0.75,erin,acme-mobile,android-app,Mobile,Claude Opus 4.7
2026-05-02,copilot,copilot_premium_request,13,request,0.04,0.52,0.08,0.44,mallory,acme-mobile,ios-app,Mobile,Auto: Claude Haiku 4.5
2026-05-02,copilot,copilot_premium_request,15,request,0.04,0.60,0.09,0.51,frank,acme-frontend,web-dashboard,Frontend,Auto: Claude Sonnet 4.6
2026-05-02,copilot,copilot_premium_request,20,request,0.04,0.80,0.12,0.68,oscar,acme-frontend,design-system,Frontend,Claude Sonnet 4.6
2026-05-03,copilot,copilot_premium_request,19,request,0.04,0.76,0.11,0.65,heidi,acme-platform,billing-service,Platform Engineering,Auto: Claude Haiku 4.5
2026-05-03,copilot,copilot_premium_request,14,request,0.04,0.56,0.08,0.48,heidi,acme-platform,billing-service,Platform Engineering,Auto: Claude Sonnet 4.6
2026-05-03,copilot,copilot_premium_request,21,request,0.04,0.84,0.13,0.71,ivan,acme-platform,core-api,Platform Engineering,Claude Opus 4.7
2026-05-03,copilot,copilot_premium_request,18,request,0.04,0.72,0.11,0.61,dave,acme-data,feature-store,Data Science,Auto: Claude Haiku 4.5
2026-05-03,copilot,copilot_premium_request,29,request,0.04,1.16,0.17,0.99,mallory,acme-mobile,ios-app,Mobile,Claude Sonnet 4.6
2026-05-03,copilot,copilot_premium_request,28,request,0.04,1.12,0.17,0.95,grace,acme-frontend,web-dashboard,Frontend,Claude Haiku 4.5
2026-05-03,copilot,copilot_premium_request,14,request,0.04,0.56,0.08,0.48,oscar,acme-frontend,web-dashboard,Frontend,Gemini 2.5 Pro
2026-05-03,copilot,copilot_premium_request,15,request,0.04,0.60,0.09,0.51,oscar,acme-frontend,design-system,Frontend,Code Review model
2026-05-04,copilot,copilot_premium_request,42,request,0.04,1.68,0.25,1.43,alice,acme-platform,core-api,Platform Engineering,Auto: Claude Sonnet 4.6
2026-05-04,copilot,copilot_premium_request,49,request,0.04,1.96,0.29,1.67,alice,acme-platform,infra-tools,Platform Engineering,Claude Sonnet 4.6
2026-05-04,copilot,copilot_premium_request,28,request,0.04,1.12,0.17,0.95,bob,acme-platform,core-api,Platform Engineering,Claude Sonnet 4.6
2026-05-04,copilot,copilot_premium_request,23,request,0.04,0.92,0.14,0.78,bob,acme-platform,core-api,Platform Engineering,Auto: Claude Sonnet 4.6
2026-05-04,copilot,copilot_premium_request,27,request,0.04,1.08,0.16,0.92,carol,acme-data,ml-pipeline,Data Science,Claude Sonnet 4.6
2026-05-04,copilot,copilot_premium_request,36,request,0.04,1.44,0.22,1.22,dave,acme-data,feature-store,Data Science,Claude Haiku 4.5
2026-05-04,copilot,copilot_premium_request,41,request,0.04,1.64,0.25,1.39,dave,acme-data,feature-store,Data Science,Auto: Claude Haiku 4.5
2026-05-04,copilot,copilot_premium_request,61,request,0.04,2.44,0.37,2.07,judy,acme-data,ml-pipeline,Data Science,Auto: Claude Sonnet 4.6
2026-05-04,copilot,copilot_premium_request,39,request,0.04,1.56,0.23,1.33,mallory,acme-mobile,android-app,Mobile,Gemini 2.5 Pro
